title,authors,year,venue,abstract_or_snippet,pub_url,eprint_url,num_citations,citedby_url
Understanding the impact of long-term memory on self-disclosure with large language model-driven chatbots for public health intervention,E Jo; Y Jeong; SH Park; DA Epstein,2024,Proceedings of the 2024 …,"In this section, we discuss the influence of the selective memory that LTM provides in LLM-driven  chatbots, suggesting that designers should carefully decide what topics they train LTM",https://dl.acm.org/doi/abs/10.1145/3613904.3642420,https://dl.acm.org/doi/full/10.1145/3613904.3642420,88,"/scholar?cites=18207913115202330230&as_sdt=5,33&sciodt=0,33&hl=en"
A survey on the optimization of large language model-based agents,S Du; J Zhao; J Shi; Z Xie; X Jiang; Y Bai,2026,ACM Computing …,"behavior through prompt engineering and external knowledge retrieval. Finally, we summarize  the evaluation for agents, review key applications of LLM-based agents, and discuss the",https://dl.acm.org/doi/abs/10.1145/3789261,https://dl.acm.org/doi/full/10.1145/3789261,24,"/scholar?cites=11666181406528668769&as_sdt=5,33&sciodt=0,33&hl=en"
Llm agents improve semantic code search,S Jain; A Dora; KS Sam; P Singh,2024,arXiv preprint arXiv:2408.11058,"using Retrieval Augmented Generation (RAG) powered agents to inject information into user  prompts allowing for better inputs into embedding models. By utilizing RAG, agents  retrieval",https://arxiv.org/abs/2408.11058,https://arxiv.org/pdf/2408.11058?,14,"/scholar?cites=2612068853057978327&as_sdt=5,33&sciodt=0,33&hl=en"
Beyond Static GUI Agent: Evolving LLM-based GUI Testing via Dynamic Memory,M Chen; Z Liu; C Chen; J Wang; Y Xue,2025,2025 40th IEEE/ACM …,"To organize these traces into episodic memory, we segment them into discrete function units,  each representing a self-contained user task such as adding an expense or editing an entry",https://ieeexplore.ieee.org/abstract/document/11334687/,,1,"/scholar?cites=8665441119859006019&as_sdt=5,33&sciodt=0,33&hl=en"
AdaMem: Adaptive User-Centric Memory for Long-Horizon Dialogue Agents,S Yan; J Ni; L Zheng; J Zhang; P Wu; D Yin,2026,arXiv preprint arXiv …,"language model (LLM) agents  retrieval over heterogeneous memory sources. AdaMem  consists of four tightly coupled components: memory construction, question-conditioned retrieval",https://arxiv.org/pdf/2603.16496,https://arxiv.org/pdf/2603.16496,1,"/scholar?cites=8643464915685923276&as_sdt=5,33&sciodt=0,33&hl=en"
Cam: A constructivist view of agentic memory for llm-based reading comprehension,R Li; Z Zhang; X Bo; Z Tian; X Chen; Q Dai,2025,arXiv preprint arXiv …,memory design blueprint for LLM-based reading agents.  Memory Retrieval We also notice  the performance variations  underscoring the impact of memory retrieval strategies on the,https://arxiv.org/abs/2510.05520,https://arxiv.org/pdf/2510.05520?,17,"/scholar?cites=12019485950393034801&as_sdt=5,33&sciodt=0,33&hl=en"
A survey on trustworthy llm agents: Threats and countermeasures,M Yu; F Meng; X Zhou; S Wang; J Mao; L Pan,2025,Proceedings of the 31st …,"The integration of LLMs as backbone with extra modules (eg memory [ “LLM-based Agent”,  transforming static neural network into dynamic cognitive subject capable of memory retrieval,",https://dl.acm.org/doi/abs/10.1145/3711896.3736561,https://dl.acm.org/doi/pdf/10.1145/3711896.3736561,115,"/scholar?cites=10432425910303948303&as_sdt=5,33&sciodt=0,33&hl=en"
Understanding Users' Privacy Perceptions Towards LLM's RAG-based Memory,S Zhang; R Ma; Y Ma; S Li; Y Xu; X Yi; H Li,2025,Proceedings of the 2025 …,"their mental models of LLM’s Retrieval Augmented Generation (RAG)-based memory, current   memory systems. Our findings reveal diverse and often incomplete mental models of how",https://dl.acm.org/doi/abs/10.1145/3733816.3760750,https://dl.acm.org/doi/full/10.1145/3733816.3760750,3,"/scholar?cites=7649812753688032093&as_sdt=5,33&sciodt=0,33&hl=en"
A survey of personalization: From rag to agent,X Li; P Jia; D Xu; Y Wen; Y Zhang; W Zhang,2025,arXiv preprint arXiv …,"stages of RAG: pre-retrieval, retrieval, and generation. Beyond RAG, we further extend its  capabilities into the realm of Personalized LLM-based Agents, which enhance traditional RAG",https://arxiv.org/abs/2504.10147,https://arxiv.org/pdf/2504.10147,28,"/scholar?cites=13598375597135687351&as_sdt=5,33&sciodt=0,33&hl=en"
Ma-rag: Multi-agent retrieval-augmented generation via collaborative chain-of-thought reasoning,T Nguyen; P Chin; YW Tai,2025,arXiv preprint arXiv:2505.20096,"Retrieval-Augmented Generation (RAG) enhances LLM  -RAG, a lightweight, training-free  multi-agent RAG framework  specialized agents for high-precision retrieval and generation.",https://arxiv.org/abs/2505.20096,https://arxiv.org/pdf/2505.20096,28,"/scholar?cites=1755538503356452473&as_sdt=5,33&sciodt=0,33&hl=en"
DEMENTIA-PLAN: An Agent-Based Framework for Multi-Knowledge Graph Retrieval-Augmented Generation in Dementia Care,Y Song; C Lyu; P Zhang; S Brunswicker; N Dutt,2025,arXiv preprint arXiv …,"multi-KG RAG framework specifically designed for generating LLM responses with dementia  patients. To our knowledge, DEMENTIA-PLAN represents the first planning-enhanced RAG",https://arxiv.org/abs/2503.20950,https://arxiv.org/pdf/2503.20950,3,"/scholar?cites=7293933742352015739&as_sdt=5,33&sciodt=0,33&hl=en"
Federated experiments: Generative causal inference powered by LLM-based agents simulation and RAG-based domain docking,DY Zhou; X Xue; Q Ma; C Guo; LZ Cui,2025,IEEE/CAA Journal of …,"agents using RAG to enhance the generative capabilities of datadriven LLM agents. Currently,   to improving the parallelism between generative agents and real-world entities. However,",https://ieeexplore.ieee.org/abstract/document/11062603/,https://ieeexplore.ieee.org/iel8/6570654/11062602/11062603.pdf,4,"/scholar?cites=11167080368309509109&as_sdt=5,33&sciodt=0,33&hl=en"
